id,coverage,k-length,metric,score
16,10,10.0,BC,0.39739384293713237
16,10,10.0,BF,0.27993390300713517
16,10,10.0,CS,0.3154717300363776
16,30,10.0,BC,0.361658300471209
16,30,10.0,BF,0.24013631076217093
16,30,10.0,CS,0.2732034099582632
16,10,20.0,BC,0.601531542232164
16,10,20.0,BF,0.5144770418783209
16,10,20.0,CS,0.6007620058082531
16,30,20.0,BC,0.5772303306237302
16,30,20.0,BF,0.45438788217869663
16,30,20.0,CS,0.541937019765944
16,10,30.0,BC,0.6638414361694948
16,10,30.0,BF,0.5970795793252648
16,10,30.0,CS,0.6898500078451447
16,30,30.0,BC,0.6524536128774396
16,30,30.0,BF,0.5235342622089841
16,30,30.0,CS,0.6226286613753961
16,10,40.0,BC,0.69435770050616
16,10,40.0,BF,0.6602142221695405
16,10,40.0,CS,0.7539280562810063
16,30,40.0,BC,0.6987617407687823
16,30,40.0,BF,0.5650020672213852
16,30,40.0,CS,0.671995709663006
16,10,10.0,BF_Small,0.012085353366064637
16,30,10.0,BF_Small,0.009695671290316735
16,10,20.0,BF_Small,0.017530302229616324
16,30,20.0,BF_Small,0.013860611860856138
16,10,30.0,BF_Small,0.02132046182586353
16,30,30.0,BF_Small,0.015722840777628786
16,10,40.0,BF_Small,0.025937491755140756
16,30,40.0,BF_Small,0.017509569336223673
