num diffs,metric,mutation rate,coverage,k-length,score,hash
1237,BC,1e-06,10,10,0.08642629970905613,0
1237,BF,1e-06,10,10,0.9876187993424906,5
1237,BF,1e-06,10,10,0.9884147826535576,6
1237,BF,1e-06,10,10,0.9891153862720298,7
990,BC,1e-06,10,20,0.17746486268640105,0
990,BF,1e-06,10,20,0.9622075780968194,5
990,BF,1e-06,10,20,0.9661828721079136,6
990,BF,1e-06,10,20,0.969411162693813,7
790,BC,1e-06,10,30,0.2094272520930368,0
790,BF,1e-06,10,30,0.9487371916244297,5
790,BF,1e-06,10,30,0.9541075835721032,6
790,BF,1e-06,10,30,0.9584490475611217,7
439,BC,1e-06,10,40,0.2503042952515049,0
439,BF,1e-06,10,40,0.9291956385720634,5
439,BF,1e-06,10,40,0.9363936273144381,6
439,BF,1e-06,10,40,0.9422484959183601,7
1131,BC,1e-06,15,10,0.0694835771051101,0
1131,BF,1e-06,15,10,0.9918590635534027,5
1131,BF,1e-06,15,10,0.9923871500369937,6
1131,BF,1e-06,15,10,0.9928554672744314,7
1125,BC,1e-06,15,20,0.12346821817778397,0
1125,BF,1e-06,15,20,0.9811218385430299,5
1125,BF,1e-06,15,20,0.9831379017963662,6
1125,BF,1e-06,15,20,0.9847826909553705,7
121,BC,1e-06,15,30,0.1275497445907846,0
121,BF,1e-06,15,30,0.9802811952603707,5
121,BF,1e-06,15,30,0.9823877340786662,6
121,BF,1e-06,15,30,0.9840998693999367,7
1651,BC,1e-06,15,40,0.1676754412271363,0
1651,BF,1e-06,15,40,0.9645600845834881,5
1651,BF,1e-06,15,40,0.968300979299066,6
1651,BF,1e-06,15,40,0.9713465832802274,7
989,BC,1e-06,20,10,0.06130475079389053,0
989,BF,1e-06,20,10,0.9935695453615576,5
989,BF,1e-06,20,10,0.9939942426176067,6
989,BF,1e-06,20,10,0.9943653751054873,7
1317,BC,1e-06,20,20,0.10734200594070664,0
1317,BF,1e-06,20,20,0.985213172555747,5
1317,BF,1e-06,20,20,0.9868087621485192,6
1317,BF,1e-06,20,20,0.9880880614805753,7
573,BC,1e-06,20,30,0.11721538793757902,0
573,BF,1e-06,20,30,0.9816231108909295,5
573,BF,1e-06,20,30,0.9835924757062441,6
573,BF,1e-06,20,30,0.9851870338454959,7
1287,BC,1e-06,20,40,0.14038842794700035,0
1287,BF,1e-06,20,40,0.9736242465025237,5
1287,BF,1e-06,20,40,0.9764676780385726,6
1287,BF,1e-06,20,40,0.9787518703673553,7
356,BC,1e-06,30,10,0.04663549938783018,0
356,BF,1e-06,30,10,0.9960035679602077,5
356,BF,1e-06,30,10,0.9962718377880749,6
356,BF,1e-06,30,10,0.9965052551068857,7
312,BC,1e-06,30,20,0.08321817161354883,0
312,BF,1e-06,30,20,0.9911168869635867,5
312,BF,1e-06,30,20,0.9920845872429823,6
312,BF,1e-06,30,20,0.9928577235245097,7
115,BC,1e-06,30,30,0.08758754374506272,0
115,BF,1e-06,30,30,0.9904268173305203,5
115,BF,1e-06,30,30,0.9914603428147415,6
115,BF,1e-06,30,30,0.9922910293589202,7
2034,BC,1e-06,30,40,0.11230240287842475,0
2034,BF,1e-06,30,40,0.9834048252203318,5
2034,BF,1e-06,30,40,0.9852047681041454,6
2034,BF,1e-06,30,40,0.9866577598808168,7
988,BC,1e-06,40,10,0.040950600001391946,0
988,BF,1e-06,40,10,0.996055002063814,5
988,BF,1e-06,40,10,0.9963225520920358,6
988,BF,1e-06,40,10,0.9965606562479841,7
996,BC,1e-06,40,20,0.0783659472651862,0
996,BF,1e-06,40,20,0.9921780676995838,5
996,BF,1e-06,40,20,0.9930261447295322,6
996,BF,1e-06,40,20,0.9937107964450901,7
1355,BC,1e-06,40,30,0.09476342178125585,0
1355,BF,1e-06,40,30,0.984987463939262,5
1355,BF,1e-06,40,30,0.9866107241381629,6
1355,BF,1e-06,40,30,0.9879085418132446,7
1134,BC,1e-06,40,40,0.09706783392157625,0
1134,BF,1e-06,40,40,0.9869387401326398,5
1134,BF,1e-06,40,40,0.9883503893930545,6
1134,BF,1e-06,40,40,0.9894888492444228,7
8108,BC,1e-05,10,10,0.10227406999940258,0
8108,BF,1e-05,10,10,0.9827629924916002,5
8108,BF,1e-05,10,10,0.9838989906899479,6
8108,BF,1e-05,10,10,0.9848836929444271,7
4794,BC,1e-05,10,20,0.20785637930501344,0
4794,BF,1e-05,10,20,0.9491599305285562,5
4794,BF,1e-05,10,20,0.9545437819204095,6
4794,BF,1e-05,10,20,0.9588910806380374,7
14159,BC,1e-05,10,30,0.2956355731048127,0
14159,BF,1e-05,10,30,0.9088276307053712,5
14159,BF,1e-05,10,30,0.9182251751318022,6
14159,BF,1e-05,10,30,0.9259415142944957,7
3507,BC,1e-05,10,40,0.2958654446172603,0
3507,BF,1e-05,10,40,0.9068316496114943,5
3507,BF,1e-05,10,40,0.9163539330517865,6
3507,BF,1e-05,10,40,0.9240897122091454,7
6801,BC,1e-05,15,10,0.08442275842079561,0
6801,BF,1e-05,15,10,0.9880009408775163,5
6801,BF,1e-05,15,10,0.9887914311550512,6
6801,BF,1e-05,15,10,0.9894827320006341,7
3007,BC,1e-05,15,20,0.14295771350427122,0
3007,BF,1e-05,15,20,0.9723205954710918,5
3007,BF,1e-05,15,20,0.9752728625458937,6
3007,BF,1e-05,15,20,0.9776705805086843,7
9762,BC,1e-05,15,30,0.20857482186316423,0
9762,BF,1e-05,15,30,0.9535188642377336,5
9762,BF,1e-05,15,30,0.9585428389048742,6
9762,BF,1e-05,15,30,0.9625748849384989,7
4705,BC,1e-05,15,40,0.191071638698052,0
4705,BF,1e-05,15,40,0.9564446000421533,5
4705,BF,1e-05,15,40,0.9610836511130436,6
4705,BF,1e-05,15,40,0.9648194314600832,7
3017,BC,1e-05,20,10,0.0676443448870272,0
3017,BF,1e-05,20,10,0.9921568399495315,5
3017,BF,1e-05,20,10,0.9926717854355319,6
3017,BF,1e-05,20,10,0.9931247683959582,7
7110,BC,1e-05,20,20,0.18782907366794654,0
7110,BF,1e-05,20,20,0.952003331207374,5
7110,BF,1e-05,20,20,0.957162166231073,6
7110,BF,1e-05,20,20,0.9613213174761699,7
13034,BC,1e-05,20,30,0.2553823117262446,0
13034,BF,1e-05,20,30,0.9284533816293637,5
13034,BF,1e-05,20,30,0.9362063850238189,6
13034,BF,1e-05,20,30,0.9424086549277795,7
10772,BC,1e-05,20,40,0.20190411050840773,0
10772,BF,1e-05,20,40,0.9628141797470344,5
10772,BF,1e-05,20,40,0.9668735740789137,6
10772,BF,1e-05,20,40,0.970147025752401,7
6286,BC,1e-05,30,10,0.05898028764924801,0
6286,BF,1e-05,30,10,0.9936259894839399,5
6286,BF,1e-05,30,10,0.9940555480841664,6
6286,BF,1e-05,30,10,0.9944289873921109,7
13213,BC,1e-05,30,20,0.1700253200402494,0
13213,BF,1e-05,30,20,0.9672038112639111,5
13213,BF,1e-05,30,20,0.970803632954932,6
13213,BF,1e-05,30,20,0.9736910382449058,7
5264,BC,1e-05,30,30,0.15127372842500075,0
5264,BF,1e-05,30,30,0.9673891539332271,5
5264,BF,1e-05,30,30,0.9709120136652017,6
5264,BF,1e-05,30,30,0.9737112637732324,7
3283,BC,1e-05,30,40,0.17586098026783248,0
3283,BF,1e-05,30,40,0.9677061565764833,5
3283,BF,1e-05,30,40,0.9712323702120081,6
3283,BF,1e-05,30,40,0.9740631906476988,7
1483,BC,1e-05,40,10,0.03940085982489139,0
1483,BF,1e-05,40,10,0.9965876821254559,5
1483,BF,1e-05,40,10,0.9968239870288217,6
1483,BF,1e-05,40,10,0.9970305698790791,7
12650,BC,1e-05,40,20,0.1775077105423538,0
12650,BF,1e-05,40,20,0.9515618325740158,5
12650,BF,1e-05,40,20,0.9567820704682486,6
12650,BF,1e-05,40,20,0.9609863950576173,7
2617,BC,1e-05,40,30,0.102457925976153,0
2617,BF,1e-05,40,30,0.9825113160427481,5
2617,BF,1e-05,40,30,0.9843968083196017,6
2617,BF,1e-05,40,30,0.98591739074064,7
1059,BC,1e-06,10,10,0.08706007367662005,0
1059,BF,1e-06,10,10,0.9874446120257415,5
1059,BF,1e-06,10,10,0.9882500006390692,6
1059,BF,1e-06,10,10,0.9889672732194911,7
579,BC,1e-06,10,20,0.1804190464290768,0
579,BF,1e-06,10,20,0.961099970330273,5
579,BF,1e-06,10,20,0.9651909654779944,6
579,BF,1e-06,10,20,0.9684918283762993,7
272,BC,1e-06,10,30,0.21003613088729978,0
272,BF,1e-06,10,30,0.9489947176136981,5
272,BF,1e-06,10,30,0.9542813416604098,6
272,BF,1e-06,10,30,0.9585663961793178,7
1036,BC,1e-06,10,40,0.26345883909346623,0
1036,BF,1e-06,10,40,0.9227436045039236,5
1036,BF,1e-06,10,40,0.9305699869875971,6
1036,BF,1e-06,10,40,0.9370292583831331,7
334,BC,1e-06,15,10,0.06971032132299515,0
334,BF,1e-06,15,10,0.9918271727742664,5
334,BF,1e-06,15,10,0.9923550669815424,6
334,BF,1e-06,15,10,0.9928228885901772,7
937,BC,1e-06,15,20,0.1262984994821319,0
937,BF,1e-06,15,20,0.9803265210317879,5
937,BF,1e-06,15,20,0.9824275945860648,6
937,BF,1e-06,15,20,0.9841278644933696,7
751,BC,1e-06,15,30,0.1336504691006294,0
751,BF,1e-06,15,30,0.9774726073072979,5
751,BF,1e-06,15,30,0.9798844548542847,6
751,BF,1e-06,15,30,0.9818235064796973,7
321,BC,1e-06,15,40,0.146326084548843,0
321,BF,1e-06,15,40,0.9738074438785103,5
321,BF,1e-06,15,40,0.9765926318367862,6
321,BF,1e-06,15,40,0.9788580992802028,7
697,BC,1e-06,20,10,0.06128625092659812,0
697,BF,1e-06,20,10,0.9935193502323789,5
697,BF,1e-06,20,10,0.993936317041272,6
697,BF,1e-06,20,10,0.9943085311774719,7
454,BC,1e-06,20,20,0.10217051652260911,0
454,BF,1e-06,20,20,0.9868256926879103,5
454,BF,1e-06,20,20,0.9882430240665305,6
454,BF,1e-06,20,20,0.989387622094569,7
