num diffs,metric,mutation rate,coverage,k-length,score
0,BC,0.0,10,10,0.0865497975184295
0,BF,0.0,10,10,0.989085470648297
0,BC,0.0,10,10,0.08472307787644806
0,BF,0.0,10,10,0.989863761844644
1604,BC,1e-05,10,10,0.09305477904663262
1604,BF,1e-05,10,10,0.9870729188715893
8046,BC,1e-05,10,20,0.23268204323028163
8046,BF,1e-05,10,20,0.9093387602092393
3934,BC,1e-05,10,30,0.25579704652236956
3934,BF,1e-05,10,30,0.9013697231587156
8218,BC,1e-05,10,40,0.3143869269731515
8218,BF,1e-05,10,40,0.8673056084366193
7808,BC,1e-05,20,10,0.09316863530809505
7808,BF,1e-05,20,10,0.9909132119871605
23354,BC,1e-05,20,20,0.3043513298712187
23354,BF,1e-05,20,20,0.8808970563969944
6365,BC,1e-05,20,30,0.23797775343412264
6365,BF,1e-05,20,30,0.9196620881026379
624,BC,1e-05,20,40,0.12847561361303228
624,BF,1e-05,20,40,0.9691025176955192
9860,BC,1e-05,30,10,0.07497796454064909
9860,BF,1e-05,30,10,0.9898100004474389
24477,BC,1e-05,30,20,0.10645104069633071
24477,BF,1e-05,30,20,0.9814615184659141
2982,BC,1e-05,30,30,0.1465348642392572
2982,BF,1e-05,30,30,0.9541561538322736
38003,BC,3e-05,10,10,0.16551749402972726
38003,BF,3e-05,10,10,0.9598264294848413
15717,BC,3e-05,10,20,0.27071140450436804
15717,BF,3e-05,10,20,0.8919666362280031
21751,BC,3e-05,10,30,0.359357595537775
21751,BF,3e-05,10,30,0.8366890826891263
33184,BC,3e-05,10,40,0.6607613691018233
33184,BF,3e-05,10,40,0.6285585628696272
10817,BC,3e-05,10,10,0.11106343531702523
BF,3e-05,10,10,0.9811578847341911
12440,BC,3e-05,10,20,0.3229499033528528
BF,3e-05,10,20,0.859927152762531
15697,BC,3e-05,10,30,0.3494336319278225
BF,3e-05,10,30,0.8440268346809693
22473,BC,3e-05,10,40,0.49411588438139464
BF,3e-05,10,40,0.7508033132137568
11241,BC,3e-05,20,10,0.09033078310346931
BF,3e-05,20,10,0.9923380006425554
12880,BC,3e-05,20,20,0.1082247159453692
BF,3e-05,20,20,0.9799987244528867
14570,BC,3e-05,20,30,0.3388880363573403
BF,3e-05,20,30,0.84132889917881
5861,BC,3e-05,20,40,0.26951118895879034
BF,3e-05,20,40,0.8854849267594325
49585,BC,3e-05,30,10,0.1582398612959235
BF,3e-05,30,10,0.9657308093519281
22605,BC,3e-05,30,20,0.2564953152074805
BF,3e-05,30,20,0.902713717901648
24062,BC,3e-05,30,30,0.2700908826786772
BF,3e-05,30,30,0.8964465133669488
55172,BC,3e-05,30,40,0.6667052769113633
BF,3e-05,30,40,0.6083995223803295
24486,BC,3e-05,40,10,0.09429900785754741
BF,3e-05,40,10,0.9747200032409845
21917,BC,3e-05,40,20,0.23879382058615406
