num diffs,metric,mutation rate,coverage,k-length,score,,,,,
0,BF,0,10,10,0.989085471,,,,,
0,BF,0,10,10,0.989863762,,,,,
1604,BF,1.00E-05,10,10,0.987072919,,,,,
8046,BF,1.00E-05,10,20,0.90933876,,,,,
3934,BF,1.00E-05,10,30,0.901369723,,,,,
8218,BF,1.00E-05,10,40,0.867305608,,,,,
7808,BF,1.00E-05,20,10,0.990913212,,,,,
23354,BF,1.00E-05,20,20,0.880897056,,,,,
6365,BF,1.00E-05,20,30,0.919662088,,,,,
624,BF,1.00E-05,20,40,0.969102518,,,,,
9860,BF,1.00E-05,30,10,0.98981,,,,,
24477,BF,1.00E-05,30,20,0.981461518,,,,,
2982,BF,1.00E-05,30,30,0.954156154,,,,,
38003,BF,3.00E-05,10,10,0.959826429,,,,,
15717,BF,3.00E-05,10,20,0.891966636,,,,,
21751,BF,3.00E-05,10,30,0.836689083,,,,,
33184,BF,3.00E-05,10,40,0.628558563,,,,,
10817,BF,3.00E-05,10,10,0.981157885,,,,,
12440,BF,3.00E-05,10,20,0.859927153,,,,,
15697,BF,3.00E-05,10,30,0.844026835,,,,,
22473,BF,3.00E-05,10,40,0.750803313,,,,,
11241,BF,3.00E-05,20,10,0.992338001,,,,,
12880,BF,3.00E-05,20,20,0.979998724,,,,,
14570,BF,3.00E-05,20,30,0.841328899,,,,,
5861,BF,3.00E-05,20,40,0.885484927,,,,,
49585,BF,3.00E-05,30,10,0.965730809,,,,,
22605,BF,3.00E-05,30,20,0.902713718,,,,,
24062,BF,3.00E-05,30,30,0.896446513,,,,,
55172,BF,3.00E-05,30,40,0.608399522,,,,,
24486,BF,3.00E-05,40,10,0.974720003,,,,,
21917,BF,3.00E-05,40,20,0.912660075,,,,,
22866,BF,3.00E-05,10,10,0.985099747,,,,,
17034,BF,3.00E-05,10,20,0.923568567,,,,,
9955,BF,3.00E-05,10,30,0.831805963,,,,,
15610,BF,3.00E-05,10,40,0.814194265,,,,,
12580,BF,3.00E-05,20,10,0.991743032,,,,,
16393,BF,3.00E-05,20,20,0.903964999,,,,,
10830,BF,3.00E-05,20,30,0.943526012,,,,,
11962,BF,3.00E-05,20,40,0.857524899,,,,,
71546,BF,3.00E-05,30,10,0.960985095,,,,,
44667,BF,3.00E-05,30,20,0.836542259,,,,,
32071,BF,3.00E-05,30,30,0.88293085,,,,,
39111,BF,3.00E-05,30,40,0.807283511,,,,,
7283,BF,3.00E-05,40,10,0.987548404,,,,,
13893,BF,3.00E-05,40,20,0.957668081,,,,,
27585,BF,3.00E-05,40,30,0.852125238,,,,,
15230,BF,3.00E-05,40,40,0.837462727,,,,,
10936,BF,1.00E-05,10,10,0.988466551,,,,,
9220,BF,1.00E-05,10,20,0.908902403,,,,,
23213,BF,1.00E-05,10,30,0.781225156,,,,,
18156,BF,1.00E-05,10,40,0.82285134,,,,,
5453,BF,1.00E-05,20,10,0.99219101,,,,,
9923,BF,1.00E-05,20,20,0.968217894,,,,,
3715,BF,1.00E-05,20,30,0.970469255,,,,,
7617,BF,1.00E-05,20,40,0.911942616,,,,,
9622,BF,1.00E-05,30,10,0.988255629,,,,,
8277,BF,1.00E-05,30,20,0.950693725,,,,,
13374,BF,1.00E-05,30,30,0.882860303,,,,,
2881,BF,1.00E-05,30,40,0.967222607,,,,,
1220,BF,1.00E-05,40,10,0.987045183,,,,,
6711,BF,1.00E-05,40,20,0.980140323,,,,,
3040,BF,1.00E-05,40,30,0.980638314,,,,,
6647,BF,1.00E-05,40,40,0.954664309,,,,,
57652,BF,3.00E-05,10,10,0.948632223,,,,,
24535,BF,3.00E-05,10,20,0.789288242,,,,,
8398,BF,3.00E-05,10,30,0.874601129,,,,,
52071,BF,3.00E-05,10,40,0.603917747,,,,,
10309,BF,3.00E-05,20,10,0.992755548,,,,,
9697,BF,3.00E-05,20,20,0.940222171,,,,,
19135,BF,3.00E-05,20,30,0.873864281,,,,,
34195,BF,3.00E-05,20,40,0.913214529,,,,,
48798,BF,3.00E-05,30,10,0.981929049,,,,,
41908,BF,3.00E-05,30,20,0.956770885,,,,,
15318,BF,3.00E-05,30,30,0.903483871,,,,,
25334,BF,3.00E-05,30,40,0.740198752,,,,,
30207,BF,3.00E-05,40,10,0.964516468,,,,,
