num diffs,metric,mutation rate,coverage,k-length,score
1265,BC,1e-05,10,10,0.09277130794799426
1921,BC,1e-05,10,20,0.19477881639601768
9110,BC,1e-05,10,30,0.2850114320900625
2937,BC,1e-05,10,40,0.3213762441167476
11571,BC,1e-05,20,10,0.08228391404540725
16735,BC,1e-05,20,20,0.21882723585244934
5341,BC,1e-05,20,30,0.1816030745449393
928,BC,1e-05,20,40,0.13889688323616223
5896,BC,1e-05,30,10,0.061458553889764955
15902,BC,1e-05,30,20,0.19141628584938064
7056,BC,1e-05,30,30,0.18866704412205237
9092,BC,1e-05,30,40,0.16736287036069775
11250,BC,1e-05,40,10,0.06175229137795679
19412,BC,1e-05,40,20,0.23371972094237325
9722,BC,1e-05,40,30,0.1906431504363636
4628,BC,1e-05,40,40,0.15944029302551666
629,BC,1e-06,10,10,0.08845094902011741
980,BC,1e-06,10,20,0.1856836413820353
558,BC,1e-06,10,30,0.22187492838905665
292,BC,1e-06,10,40,0.2582436928536953
855,BC,1e-06,20,10,0.060761411949483146
943,BC,1e-06,20,20,0.10117996572752364
850,BC,1e-06,20,30,0.1132358729129661
565,BC,1e-06,20,40,0.11598056391049938
1319,BC,1e-06,30,10,0.049414625709455096
289,BC,1e-06,30,20,0.08681423597529159
275,BC,1e-06,30,30,0.0897320459736125
721,BC,1e-06,30,40,0.1040762012689882
1469,BC,1e-06,40,10,0.04192101461616138
1237,BC,1e-06,40,20,0.07604392311180241
1316,BC,1e-06,40,30,0.09146357192793764
540,BC,1e-06,40,40,0.08828114137509979
1130,BC,1e-05,10,10,0.09073391269293851
7397,BC,1e-05,10,20,0.22229031327812976
7825,BC,1e-05,10,30,0.26739770528199214
3896,BC,1e-05,10,40,0.2920356198141397
5878,BC,1e-05,20,10,0.06693136574615322
4427,BC,1e-05,20,20,0.1361085703695939
7743,BC,1e-05,20,30,0.12057146449323763
8132,BC,1e-05,20,40,0.18934163288977301
12995,BC,1e-05,30,10,0.07752378196267706
2546,BC,1e-05,30,20,0.11326099975826087
1784,BC,1e-05,30,30,0.11060593524103857
16399,BC,1e-05,30,40,0.22937404556184704
10730,BC,1e-05,40,10,0.08316673607174363
1782,BC,1e-05,40,20,0.07968579533391318
3915,BC,1e-05,40,30,0.13093461308830157
1588,BC,1e-05,40,40,0.11515356661372878
1445,BC,1e-06,10,10,0.09000938301258132
1673,BC,1e-06,10,20,0.1960994792856241
446,BC,1e-06,10,30,0.21377977475980559
2050,BC,1e-06,10,40,0.2826749211856585
428,BC,1e-06,20,10,0.06111901256900287
924,BC,1e-06,20,20,0.10647684373561916
365,BC,1e-06,20,30,0.10589614912237266
578,BC,1e-06,20,40,0.12531870651295451
581,BC,1e-06,30,10,0.048447954457924935
747,BC,1e-06,30,20,0.08512508994699564
392,BC,1e-06,30,30,0.0903144356159361
376,BC,1e-06,30,40,0.0977593830127429
2267,BC,1e-06,40,10,0.04432913981355924
438,BC,1e-06,40,20,0.0734569586554642
1074,BC,1e-06,40,30,0.08998017262186075
462,BC,1e-06,40,40,0.08533681758843448
2408,BC,1e-05,10,10,0.08971655448635363
6907,BC,1e-05,10,20,0.2274241040637074
15150,BC,1e-05,10,30,0.39118700997411204
4360,BC,1e-05,10,40,0.30700012733356286
5850,BC,1e-05,20,10,0.076044268099282
10356,BC,1e-05,20,20,0.20812312503340602
9961,BC,1e-05,20,30,0.18796162380406511
5384,BC,1e-05,20,40,0.1761084030964144
7899,BC,1e-05,30,10,0.05965134751865542
6825,BC,1e-05,30,20,0.12368363783816794
4257,BC,1e-05,30,30,0.14207358273830462
12045,BC,1e-05,30,40,0.2586743052011433
2948,BC,1e-05,40,10,0.04510027873414224
8716,BC,1e-05,40,20,0.12784870249289937
5720,BC,1e-05,40,30,0.13328148770229764
7879,BC,1e-05,40,40,0.2227312623296629
196,BC,1e-06,10,10,0.08707387271106992
477,BC,1e-06,10,20,0.1778448496288526
475,BC,1e-06,10,30,0.2121972179396966
958,BC,1e-06,10,40,0.2713909553709206
536,BC,1e-06,20,10,0.062355218780576926
1046,BC,1e-06,20,20,0.10216494093578887
263,BC,1e-06,20,30,0.10929959088713515
740,BC,1e-06,20,40,0.12449553222453735
778,BC,1e-06,30,10,0.04854493421812556
1380,BC,1e-06,30,20,0.08613092685887735
428,BC,1e-06,30,30,0.09473357281587125
315,BC,1e-06,30,40,0.09518941909474732
1425,BC,1e-06,40,10,0.03633327737948311
1146,BC,1e-06,40,20,0.08408529932144015
301,BC,1e-06,40,30,0.07875195550375114
821,BC,1e-06,40,40,0.09338811179765871
14713,BC,1e-05,10,10,0.13159199440470082
5344,BC,1e-05,10,20,0.19353886565867084
11303,BC,1e-05,10,30,0.3155256091284553
6942,BC,1e-05,10,40,0.30681431705265405
3267,BC,1e-05,20,10,0.06932212894663214
9657,BC,1e-05,20,20,0.22028045089523096
5185,BC,1e-05,20,30,0.20094611962757447
5967,BC,1e-05,20,40,0.25176295806394355
8518,BC,1e-05,30,10,0.05493264934931874
10767,BC,1e-05,30,20,0.12671969456923604
6410,BC,1e-05,30,30,0.14437875782970144
3511,BC,1e-05,30,40,0.14503367923103272
12223,BC,1e-05,40,10,0.07250396738822651
6473,BC,1e-05,40,20,0.08747309880387522
10626,BC,1e-05,40,30,0.1847257691671761
3044,BC,1e-05,40,40,0.09442875263369654
581,BC,1e-06,10,10,0.08787100288199101
282,BC,1e-06,10,20,0.1759616967208545
293,BC,1e-06,10,30,0.21217144300687485
1148,BC,1e-06,10,40,0.27396861255318794
